Index,Area,Location
5,Center Asia,"<Polygon><outerBoundaryIs><LinearRing><coordinates>45.004433,39.41638200000011,0
46.571381,41.87193300000018,0
47.962494,45.50499000000001,0
46.93332700000013,49.86805,0
60.02555100000018,52.000832,0
64.001389,54.31276699999999,0
69.185532,55.34388000000018,0
75.501099,54.11527300000017,0
80.687836,51.31472,0
88.48537484507409,52.76499134619747,0
97.82777400000001,51.00110600000016,0
103.6572110000001,50.13610100000017,0
107.7535930000001,49.97954600000013,0
116.4310910000002,49.42249300000015,0
118.4649960000002,46.693047,0
114.0802760000001,44.941101,0
107.907761,42.408325,0
106.3313323888012,37.59592743402942,0
104.8441692601573,34.32416855101275,0
101.5724103771406,31.94470754518244,0
100.6801124999543,31.34984229372486,0
97.80664100000018,28.34416200000016,0
90.466385,28.071663,0
84.17637600000001,29.21388200000018,0
79.51638800000001,32.676941,0
78.07554600000015,35.44582400000013,0
74.60532400000017,31.87711900000011,0
71.52415500000018,27.86971700000001,0
67.449417,24.002777,0
59.83888200000018,25.410828,0
55.734993,26.83805100000018,0
48.03221899999999,29.968052,0
45.797733,34.91404000000011,0
45.004433,39.41638200000011,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6,Oceania,"<Polygon><outerBoundaryIs><LinearRing><coordinates>132.2266240000001,5.292777000000172,0
156.425926656129,0.531757355671118,0
163.0884174724539,-0.8007408075938539,0
177.295807,-6.113889000000001,0
-175.5916119153069,-10.69929859184782,0
-170.4519761427134,-22.50142518076609,0
-170.0712623817806,-33.35176736735218,0
179.076904,-47.680595,0
173.7484027785735,-49.9128159679309,0
166.321899,-50.50695,0
159.2812798631254,-49.1513884460652,0
147.2887963937407,-47.6285334023338,0
139.4841642946174,-45.72496459766962,0
126.1591826619679,-42.86961139067324,0
115.1184835949152,-38.11068937901263,0
109.5981340613891,-30.11570039942296,0
110.3595615832548,-21.35928389796754,0
115.3088404753817,-16.60036188630693,0
121.7809744112401,-12.79322427697849,0
127.6683200000001,-8.244443999999874,0
127.2283170000002,-3.904166999999859,0
127.2810970000004,-0.8083329999998911,0
132.2266240000001,5.292777000000172,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2,Center South America,"<Polygon><outerBoundaryIs><LinearRing><coordinates>						-118.4069519999999,32.816666,0
-109.512222,31.33333200000016,0
-105.125,30.74972200000019,0
-103.73584,29.19916500000016,0
-97.38221699999998,27.21888400000017,0
-97.17778,26.08472100000012,0
-95.111115,29.098053,0
-89.08029199999987,29.52138500000012,0
-82.11444099999989,24.54583,0
-77.821945,25.70222100000001,0
-74.1849896553843,31.89166539359417,0
-64.855835,32.27861000000019,0
-64.36971300633445,28.91733913630628,0
-52.1749753514543,20.88665824162916,0
-41.46740082521802,14.04570784986703,0
-34.03158518199837,8.691920586749006,0
-29.86752842179533,3.338133323630814,0
-26.00090428732119,-1.420788688029802,0
-25.10860641013483,-10.64120008562207,0
-31.05725892471048,-23.43080299195987,0
-39.08793981938771,-36.81527114975518,0
-48.30835121698005,-49.30744143036412,0
-57.52876261457243,-58.82528545368524,0
-69.72350026945259,-59.42015070514282,0
-76.26701803548582,-55.85095919639741,0
-85.18999680734936,-47.82027830172018,0
-86.37972731026451,-37.70756902694154,0
-80.07695,-26.261669,0
-84.89256418162057,-16.29241997446894,0
-89.621124,-1.406667,0
-87.56945781317961,3.338133323630814,0
-95.6001387078569,7.502190083833852,0
-105.117982731178,11.66624684403689,0
-110.926117,18.72110700000019,0
-118.289169,28.88166400000017,0
-118.4069519999999,32.816666,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
3,Europe,"<Polygon><outerBoundaryIs><LinearRing><coordinates>15.93164300896586,74.85828678533153,0
28.89970549074087,73.90650238299941,0
29.97046294336451,72.71677188008442,0
30.155552,69.781662,0
30.02861,67.694717,0
31.75505869773724,65.81633496317653,0
31.51499900000016,62.98693800000001,0
31.251942,62.50332600000018,0
30.23054900000017,59.98582499999999,0
28.69305,60.26776900000016,0
27.820274,57.88110400000016,0
29.42527400000012,55.9511030000001,0
31.029999,55.049721,0
32.119713,53.81999199999999,0
33.41770200000019,52.3554,0
34.10083,52.1455460000002,0
36.553879,50.280273,0
39.201103,49.8733220000002,0
40.13976300000019,49.60105100000016,0
39.94887500000016,48.2208250000001,0
38.92971000000017,47.2133260000001,0
38.591103,46.65887500000014,0
37.64666,45.453606,0
37.796387,44.631653,0
39.69664800000015,43.601662,0
41.5476230000001,42.40577700000011,0
42.84024000000011,41.5788730000001,0
43.720543,40.16693900000018,0
45.004433,39.41638200000011,0
44.61805,37.727768,0
44.11637900000011,37.316376,0
41.216385,37.071381,0
37.533333,36.677773,0
35.91999800000014,35.421104,0
33.53965445210997,33.33669223359317,0
30.44635514453057,33.81258443475923,0
26.90055500000011,35.358887,0
21.40440332237557,34.64539578679984,0
14.56222200000013,35.820274,0
12.015833,36.73832700000014,0
10.808611,37.119438,0
6.398333,37.086388,0
3.056944,39.263054,0
-2.116667,36.73555,0
-5.31944499999986,35.87693800000017,0
-7.625020948753957,35.71615323942348,0
-10.48037415575033,36.54896459146409,0
-12.38394296041446,39.28534474816894,0
-15.83416141886841,44.52015896099545,0
-20.95000258140357,52.6103263808185,0
-24.16227493927437,57.36924839247912,0
-26.42276289481316,62.60406260530562,0
-25.70892459306407,65.93530801346805,0
-20.59308343052902,68.6716881701729,0
-15.71518836857689,69.74244562279654,0
-10.48037415575033,71.7649874777523,0
-6.078371294964313,72.59779882979291,0
1.416930873401157,73.90650238299941,0
6.770718136519349,74.26342153387395,0
12.48142455051192,74.50136763445698,0
15.93164300896586,74.85828678533153,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4,North Africa,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-7.625020948753957,35.71615323942348,0
-0.696666999999877,37.63250000000011,0
4.273333,39.961388,0
5.866944000000103,36.816383,0
8.917776000000174,37.51082600000012,0
12.015833,36.73832700000014,0
18.20475562517476,35.19481068714237,0
24.128609,34.85666700000019,0
27.15749700000015,35.44583100000017,0
29.07243436292379,34.41174319792691,0
33.53965445210997,33.33669223359317,0
35.882774,35.06499500000012,0
37.78415700000011,36.74860400000011,0
40.214432,36.895821,0
44.61971300000016,37.722214,0
44.822762,37.284157,0
46.33027600000015,35.83110800000014,0
47.34052828592553,34.88334188738287,0
47.69744743680008,33.69361138446772,0
47.73749500000014,31.93666100000013,0
50.13360600000016,30.068886,0
52.49971800000014,27.608608,0
54.03443900000013,26.484718,0
56.36536800000016,26.3823890000001,0
57.668327,25.74721500000015,0
59.62026999999999,25.391663,0
61.37934822032418,23.46192905939739,0
61.49832127061569,20.60657585240119,0
58.16707586245326,17.39430349453028,0
52.57534249875221,13.7061389354933,0
48.41128573854917,12.51640843257815,0
43.43860600000011,12.63110900000015,0
40.08721900000012,15.851665,0
40.30138400000016,14.405832,0
39.3702770000001,14.482777,0
37.82268426260453,12.39743538228663,0
36.116104,12.693888,0
34.28611,10.554165,0
29.73251684278148,10.49386657762238,0
26.0443522837445,10.96975877878845,0
24.73564873053783,11.32667792966299,0
20.0956997691689,11.32667792966299,0
17.83521181363011,11.44565097995451,0
15.089167,11.591665,0
12.60039760080343,11.68359708053754,0
9.423887000000001,12.816944,0
6.933332,12.997221,0
5.874722,13.749443,0
3.657777,12.528889,0
0.599444,13.708055,0
-4.332778,13.131388,0
-7.625020948753957,13.46819283491027,0
-9.885508904292749,13.58716588520178,0
-12.89139,12.543055,0
-16.73167,13.44972,0
-17.537224,14.756109,0
-19.76027207848841,22.51014465706544,0
-19.87924512877993,26.67420141726847,0
-17.831947,28.45388800000012,0
-15.95313446915992,30.36236597630528,0
-11.55113160837396,32.26593478096953,0
-7.625020948753957,35.71615323942348,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
5,South Est Asia,"<Polygon><outerBoundaryIs><LinearRing><coordinates>90.466385,28.071663,0
93.96172300000012,28.6692010000001,0
97.80664100000018,28.34416200000016,0
100.6801124999543,31.34984229372486,0
104.8441692601573,34.32416855101275,0
106.3313323888012,37.59592743402942,0
107.0992854972024,39.94027442405184,0
108.5277710000001,42.44221500000015,0
110.3611910000001,42.7503050000002,0
111.8794330000002,43.938881,0
118.310257,46.736938,0
118.4963680000003,49.874435,0
123.3822020000001,53.52665700000011,0
126.7188720000002,51.71305100000011,0
130.6716310000003,48.86499800000019,0
134.182465,47.32332600000001,0
134.1882930000003,43.07972,0
135.4866698048224,40.88741601455263,0
130.887482,37.453323,0
128.9008180000002,32.64305100000013,0
129.733032,29.609718,0
131.2438350000001,25.816666,0
131.4891753150278,21.47101420697766,0
132.8216734782927,15.95066467345134,0
134.4707950000002,7.361109999999999,0
132.2266240000001,5.292777000000172,0
127.5749970000002,-0.323332999999877,0
128.6399840000001,-7.219167,0
115.3088404753817,-16.60036188630693,0
93.79851298267602,-6.892160982519442,0
87.7070928077506,4.71960872593246,0
89.61066161241467,16.14102155391777,0
89.126648,21.714161,0
88.08859300000017,21.849442,0
88.43304400000011,26.551388,0
90.466385,28.071663,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
4,Center South Africa,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-17.148308,14.61392,0
-16.73167,13.44972,0
-13.80139,13.389166,0
-11.378056,12.988054,0
-7.625020948753957,13.46819283491027,0
-2.879167,13.655554,0
0.233029,14.42542300000014,0
4.105,12.996387,0
5.874722,13.749443,0
7.341944,13.106667,0
9.634931999999999,12.802435,0
14.577221,12.73860900000017,0
24.73564873053783,11.32667792966299,0
34.28611,10.554165,0
37.82268426260453,12.39743538228663,0
37.572212,14.102253,0
40.08721900000012,15.851665,0
42.75582900000018,13.69861000000014,0
48.41128573854917,12.51640843257815,0
52.57534249875221,13.7061389354933,0
54.13944200000014,12.350832,0
54.12199215254174,1.309147095117567,0
54.71685740399931,-6.18615507324779,0
55.07377655487386,-12.4917267386981,0
55.709999,-20.998058,0
47.22155523563401,-31.40844173504877,0
40.9159835701837,-34.97763324379423,0
33.65862750240149,-37.8329864507906,0
25.68743313286996,-37.71401340049908,0
18.90596926625375,-36.52428289758393,0
14.14704725459313,-33.66892969058756,0
9.269152192641002,-26.76849277367979,0
7.246610337685411,-20.34394805793801,0
5.937906784478741,-16.06091824744345,0
5.224068482729649,-7.851777777329005,0
3.796391879231464,-2.379017463919411,0
0.465146471069033,0.119416592202413,0
-7.625020948754013,1.547093195700597,0
-14.64443091595325,5.35423080502909,0
-18.45156852528174,11.77877552077075,0
-17.148308,14.61392,0
</coordinates></LinearRing></outerBoundaryIs></Polygon>"
5,India,"<Polygon><outerBoundaryIs><LinearRing><coordinates>67.449417,24.002777,0
74.996353,32.03628900000018,0
78.07554600000015,35.44582400000013,0
81.63720700000016,30.42443800000018,0
83.257492,29.57999800000016,0
87.86886600000014,27.91888400000016,0
90.466385,28.071663,0
88.43304400000011,26.551388,0
88.08859300000017,21.849442,0
89.37524571732672,18.85170071148252,0
86.56495152495205,12.33388394458928,0
84.09031207888853,3.387110562667488,0
79.33139006722792,1.483541758003241,0
75.90496621883227,0.912471116603967,0
70.57497356577255,7.955675693861508,0
68.48104788064188,18.80601788044771,0
67.449417,24.002777,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
5,Russia Japan,"<Polygon><outerBoundaryIs><LinearRing><coordinates>45.004433,39.41638200000011,0
43.720543,40.16693900000018,0
43.233597,41.190269,0
39.051659,44.08026900000016,0
37.796387,44.631653,0
37.738045,45.30332200000015,0
39.776093,48.02638200000012,0
39.96998600000018,49.5958250000001,0
36.8991620000001,50.33888200000013,0
33.41770200000019,52.3554,0
30.81555200000014,55.309433,0
29.172218,56.01554900000014,0
27.82305100000019,57.87387800000017,0
28.69305,60.26776900000016,0
30.23054900000017,59.98582499999999,0
31.467499,62.80638900000014,0
31.75505869773724,65.81633496317653,0
29.97777600000012,67.57249500000012,0
30.10194400000011,70.709152,0
33.43951880144795,71.03479038158793,0
43.73465342000685,72.25822991541901,0
49.63571671446601,73.40037119821756,0
55.53678000892501,77.39786568801247,0
65.4524840000002,81.027771,0
72.4785423704368,78.3496500903446,0
82.120255,77.50637800000015,0
86.37459464448563,81.39536017780739,0
94.36958362407529,83.29892898247164,0
99.69957627713518,83.29892898247164,0
111.3113459855869,81.20500329734097,0
139.4841642946174,80.8623609125014,0
155.4741422537969,79.52986274923643,0
173.7484027785735,75.72272513990794,0
-174.0687568715755,72.29630129151229,0
-166.6448385333849,67.53737927985168,0
-167.4062660552506,60.11346094166129,0
-173.1169724692434,53.64132700580285,0
173.7877500000002,52.501106,0
166.8955550817822,46.59812242854537,0
158.1391385803269,47.74026371134391,0
154.4249880000001,49.73360400000018,0
154.5223578514648,46.21740866761252,0
153.3802165686662,41.4584866559519,0
152.0477184054013,38.22241968802268,0
150.5248633616699,34.60563895916079,0
147.2887963937407,32.51171327403011,0
137.7709523704195,28.32386190376877,0
134.3445285220239,28.32386190376877,0
129.8963620000002,29.87416500000018,0
128.9008180000002,32.64305100000013,0
130.887482,37.453323,0
135.4866698048224,40.88741601455263,0
133.9083250000001,42.87332200000014,0
131.8732910000001,42.9569400000002,0
134.2197270000002,47.10485100000011,0
133.5558170000003,48.12082700000013,0
129.1203000000002,49.34683200000018,0
125.9958190000001,52.57388300000014,0
121.4737930000002,53.32381400000014,0
119.313873,50.0886,0
116.129967,48.97554800000012,0
106.3355410000002,50.31610100000012,0
100.252777,51.731659,0
93.983047,50.585266,0
88.48537484507409,52.76499134619747,0
81.42469800000015,50.96638500000001,0
76.78193700000014,53.8519360000002,0
71.16026300000016,54.59554300000001,0
66.220535,54.66387900000012,0
62.09693899999999,53.127487,0
60.02555100000018,52.000832,0
54.73054500000012,51.02499400000011,0
48.85833000000019,50.60527000000014,0
47.02610000000001,49.23610700000011,0
47.962494,45.50499000000001,0
47.73971599999999,43.932213,0
45.004433,39.41638200000011,0
</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2,North South America,"<Polygon><outerBoundaryIs><LinearRing><coordinates>					-76.29, 12.38, 0
-84.90, -3.38, 0
-73.83,-23.08, 0
-47.99,-33.87, 0
-29.18 ,-4.39, 0
-72.07, 15.62, 0</coordinates></LinearRing></outerBoundaryIs></Polygon>
"
2,South South America,"<Polygon><outerBoundaryIs><LinearRing><coordinates>					-71.80664,-18.60460, 0
-77.43164,-47.51720, 0
-68.46680,-56.94497, 0
-54.66797,-51.61802, 0
-51.76758,-33.06392, 0
-68.29102,-17.30869, 0</coordinates></LinearRing></outerBoundaryIs></Polygon>
"
1,North America,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-164.6735695470085,71.03562315784811,0 -170.5265592868348,63.88856841337586,0 -167.9234887928997,53.60713557279676,0 -158.9532879880881,49.73762293732131,0 -149.4354439647669,52.4145165688804,0 -141.7021956958185,51.81965131742281,0 -135.1586779297853,46.46586405430463,0 -131.2920537953111,38.13775053389873,0 -125.6408339064642,32.48653064505174,0 -119.444153,33.21666,0 -118.301941,33.30943300000013,0 -113.052887,31.971069,0 -106.3358459999999,31.689442,0 -103.73584,29.19916500000016,0 -100.928345,29.346664,0 -97.17778,26.08472100000012,0 -95.111115,29.098053,0 -89.04777499999989,29.104717,0 -82.11444099999989,24.54583,0 -78.19195600000001,25.203609,0 -77.735001,26.91444400000018,0 -74.1849896553843,31.89166539359417,0 -64.855835,32.27861000000019,0 -59.31335836894504,36.05572215379721,0 -52.47240797718304,40.51721153972903,0 -49.79551434562399,45.27613355138948,0 -49.4980817198952,50.62992081450767,0 -50.98524484853915,54.49654494898192,0 -53.36470585436939,59.25546696064231,0 -56.63646473738606,64.31182159803171,0 -61.262505,66.62942500000014,0 -60.50308887186019,69.66560886114991,0 -65.26201088352082,72.63993511843762,0 -69.976105,76.39415000000014,0 -71.942215,77.3044280000002,0 -74.306946,78.67665100000011,0 -66.595276,80.60859700000015,0 -60.806664,81.87997400000012,0 -82.20366183197615,83.63185652775165,0 -117.7865970194419,81.15709960150279,0 -132.5219453722757,76.12947085566329,0 -164.6735695470085,71.03562315784811,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4,South Africa,"<Polygon><outerBoundaryIs><LinearRing><coordinates>11.51367,-17.22476 10.23926,-16.97274 12.30469,-26.15544 14.94141,-34.56086 19.73145,-35.96022 28.87207,-36.77409 49.39453,-30.48655 55.10742,-11.09217 41.17676,-10.27168 34.84863,-11.52309 25.53223,-17.39258 19.51172,-17.43451</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4,Center Africa,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-17.97363,11.65224
-8.61328,1.84538
5.05371,2.32846
5.05371,2.32846
9.58008,-16.59408
11.07422,-17.05678
21.09375,-18.02053
25.53223,-17.64402
33.04688,-13.75272
34.54102,-11.99634
41.35254,-11.56614
55.85449,13.28272
51.81152,13.71004
51.81152,13.71004
43.24219,13.06878
39.72656,16.38339
36.07910,14.94478
36.60645,14.26438
32.78320,12.46876
31.99219,10.83331
14.45801,12.12526
4.35059,13.62463
-4.21875,13.49647
-16.78711,12.76895
</coordinates></LinearRing></outerBoundaryIs></Polygon>"
5,Indonesia,"<Polygon><outerBoundaryIs><LinearRing><coordinates>           
93.29590,   4.87205
102.91992, -7.14450
121.99219,-12.64034
128.97949, -8.84165
138.51563,  0.00000
125.63965,  3.90810
115.70801,  4.25877
105.73242, -0.21973
96.28418,   6.66461
 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
5,Indochina,"<Polygon><outerBoundaryIs><LinearRing><coordinates>           
            92.197265625,20.715015145512098
92.0654296875,21.493963563064455
92.548828125,22.14670778001263
93.3837890625,23.966175871265044
95.0537109375,26.627818226393046
97.7783203125,28.57487404744697
98.8330078125,27.566721430409707
98.7890625,25.918526162075153
97.734375,24.5271348225978
98.876953125,24.206889622398023
99.5361328125,23.1201536216956
100.107421875,22.024545601240337
100.986328125,21.861498734372567
101.42578125,22.471954507739227
102.6123046875,22.87744046489713
105.205078125,23.40276490540795
106.8310546875,22.87744046489713
108.10546875,21.616579336740603
108.4130859375,21.125497636606276
106.435546875,18.8543103618898
108.984375,15.792253570362446
109.9072265625,14.519780046326085
110.0390625,13.154376055418528
109.9072265625,12.082295837363576
109.4677734375,10.919617760254685
108.8525390625,10.18518740926906
107.666015625,9.449061826881419
107.0947265625,9.188870084473406
106.3037109375,8.754794702435605
105.380859375,8.320212289522956
104.765625,8.233237111274553
104.1064453125,8.754794702435605
103.9306640625,9.925565912405506
103.2275390625,10.531020008464989
102.7001953125,11.26461221250444
102.1728515625,11.996338401936226
101.25,12.382928338487408
100.72265625,12.425847783029146
100.3271484375,11.824341483849048
100.01953125,10.703791711680736
100.107421875,9.362352822055605
100.4150390625,8.450638800331001
100.7666015625,7.841615185204699
101.513671875,7.318881730366756
102.041015625,6.926426847059551
102.83203125,6.271618064314864
103.4033203125,5.528510525692801
103.7109375,4.696879026871413
103.798828125,3.6888551431470478
104.1064453125,2.811371193331128
104.501953125,2.1967272417616712
104.853515625,1.7575368113083254
105.0732421875,1.0546279422758869
105.2490234375,0.5273363048115169
104.9853515625,0.21972602392080884
104.0625,0.5273363048115169
103.271484375,0.9667509997666425
102.2607421875,1.6696855009865836
101.513671875,2.1088986592431382
101.1181640625,2.767477951092084
100.634765625,3.513421045640057
100.0634765625,4.258768357308007
99.755859375,5.134714634014455
99.404296875,5.747174076651375
98.96484375,6.751896464843375
98.3935546875,7.798078531355303
97.822265625,8.711358875426512
97.822265625,9.70905706861822
98.0419921875,10.876464994816295
98.1298828125,11.73830237143684
98.0859375,12.940322128384626
97.91015625,13.880745842025602
97.5146484375,14.944784875088372
97.294921875,16.003575733881323
96.8115234375,16.214674588248556
96.2841796875,15.580710739162123
95.537109375,15.241789855961722
94.8779296875,15.241789855961722
94.0869140625,15.411319377980993
93.5595703125,15.919073517982426
93.515625,16.63619187839765
93.6474609375,17.392579271057766
93.6474609375,17.936928637549443
93.33984375,18.437924653474393
93.1201171875,19.103648251663646
92.724609375,19.808054128088585
 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
